Date; Time (EST)Temp.; Windchill; Dew Point; Humidity; Pressure; Visibility; Wind Dir; Wind Speed; Gust Speed; Precip; Events; Conditions
2018/01/04; 5:54 PM1.0 °F; -12.9 °F; -5.1 °F; 75%; 30.33 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/04; 6:54 PM-0.9 °F; -15.3 °F; -6.0 °F; 79%; 30.35 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/04; 7:54 PM-2.9 °F; -13.3 °F; -7.1 °F; 82%; 30.36 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 8:54 PM-4.0 °F; -12.4 °F; -7.1 °F; 87%; 30.36 in; 10.0 mi; WSW; 3.5 mph; -; N/A;  ; Clear
2018/01/04; 9:54 PM-5.1 °F; -15.8 °F; -8.0 °F; 87%; 30.35 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 10:54 PM-7.1 °F; -18.1 °F; -9.9 °F; 87%; 30.35 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 11:54 PM-8.0 °F; -; -9.9 °F; 91%; 30.37 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 12:54 AM-9.0 °F; -20.4 °F; -11.9 °F; 87%; 30.36 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 1:54 AM-9.9 °F; -21.5 °F; -11.9 °F; 91%; 30.36 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 2:54 AM-9.9 °F; -21.5 °F; -13.0 °F; 86%; 30.37 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 3:54 AM-11.0 °F; -24.6 °F; -14.1 °F; 86%; 30.38 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/05; 4:54 AM-11.0 °F; -; -14.1 °F; 86%; 30.38 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 5:54 AM-13.0 °F; -25.1 °F; -17.0 °F; 82%; 30.39 in; 1.0 mi; West; 4.6 mph; -; N/A;  ; Mist
2018/01/05; 6:03 AM-15.0 °F; -25.0 °F; -17.0 °F; 91%; 30.33 in; 2.5 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 6:10 AM-13.0 °F; -; -17.0 °F; 82%; 30.34 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 6:20 AM-11.0 °F; -; -15.0 °F; 83%; 30.34 in; 9.0 mi; Calm; Calm; -; N/A;  ; Scattered Clouds
2018/01/05; 6:54 AM-13.0 °F; -; -17.0 °F; 82%; 30.40 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
